Date,Description,Amount,Balance
2026-05-01,Opening cash balance,2800000,2800000
2026-05-03,Customer invoice collection,620000,3420000
2026-05-06,Stock purchase, -480000,2940000
2026-05-10,Rent and utilities, -185000,2755000
2026-05-14,Staff payroll, -420000,2335000
2026-05-18,Owner withdrawal, -700000,1635000
2026-05-22,Transport and courier, -74000,1561000
2026-05-28,Customer invoice collection,310000,1871000
2026-06-03,Stock purchase, -520000,1351000
2026-06-07,Marketing spend, -160000,1191000
2026-06-12,Staff payroll, -420000,771000
2026-06-15,Customer invoice collection,180000,951000
